Strategy,Total Return,CAGR,Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Win Rate,Trades
Buy & Hold,1.0257327645520764,0.15615719481376678,0.27746412523470076,0.6611643302621856,0.9590642538513479,-0.3324660194174752,,1
Trend Following,0.23731735266073706,0.04474226999918862,0.0911899356190304,0.5254701327345929,0.3860135022297713,-0.09782049275654325,0.5,32
Mean Reversion,0.9209778637793633,0.14360758393408002,0.18003251338063608,0.8348282414981207,0.6245719489554944,-0.24066793302999545,0.8571428571428571,15
Custom Strategy,0.14060760911291426,0.027410875968163495,0.09732118008742052,0.3264335159457287,0.23367270856904945,-0.23556679730705332,0.4375,48
