timestamp,open,high,low,close,volume,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,atr_14,adx_14,rsi_14,stoch_k,stoch_d,williams_r,bb_mid,bb_upper,bb_lower,obv,obv_sma_20,cmf_20
2021-08-12 04:00:00+00:00,142.73,145.5,142.38,145.34,1124058.0,142.722,136.04,142.93566922566905,141.09264724293928,1.8430219827297663,2.2740587628439832,-0.431036780114217,2.1785714285714306,10.073085282593595,52.50000000000003,89.95756718528988,60.77322017916066,-10.042432814710125,142.722,145.5784505025796,139.8655494974204,15793024.0,14645341.8,-0.02171948649180871
2021-08-13 04:00:00+00:00,145.42,145.88,144.77,145.52,686701.0,142.864,136.54139999999998,143.3332585755661,141.42059929901785,1.9126592765482542,2.2017788655848376,-0.2891195890365834,2.1099999999999994,8.565586545257908,51.32231404958687,94.7826086956524,77.65738064489678,-5.217391304347608,142.864,145.9820452716073,139.74595472839272,16479725.0,14693085.3,0.03436646714510164
2021-08-16 04:00:00+00:00,145.07,147.52,143.08,147.52,1340874.0,143.2955,137.03799999999998,143.97737264086362,141.87240675834985,2.104965882513767,2.1824162689706235,-0.07745038645685653,2.1764285714285694,8.089517355498353,68.53088480801341,100.0,94.91339196031409,-0.0,143.2955,146.48569204173685,140.10530795826315,17820599.0,14888730.3,0.12918407994933173
2021-08-17 04:00:00+00:00,146.67,148.05,145.55,146.65,945687.0,143.5045,137.5166,144.38854608073075,142.22630255402765,2.1622435267030937,2.178381720517118,-0.01613819381402415,2.0521428571428544,10.360256165760802,74.16440831074982,81.50594451783353,92.0961844044953,-18.49405548216647,143.5045,147.0000579330289,140.00894206697112,16874912.0,14978988.6,0.09169881628427787
2021-08-18 04:00:00+00:00,146.3,147.09,142.67,142.8,1203448.0,143.56,137.902,144.14415437600294,142.2687986611367,1.875355714866231,2.1177765193869407,-0.2424208045207097,2.234285714285712,10.375915414857474,53.04408677396783,30.647291941876023,70.71774548656985,-69.35270805812398,143.56,146.96841682649898,140.15158317350102,15671464.0,15062559.8,0.03666498687273851
2021-08-19 04:00:00+00:00,141.58,144.48,141.1,143.22,1143943.0,143.56900000000002,138.2876,144.00197677969481,142.33925801957102,1.662718760123795,2.026764967534312,-0.36404620741051685,2.3221428571428544,10.315011484272707,53.53185595567871,30.50359712230215,47.552277860670564,-69.49640287769785,143.56900000000002,146.97258263258666,140.16541736741337,16815407.0,15154506.9,0.06278091917621353
2021-08-20 04:00:00+00:00,143.95,144.97,143.34,144.66,588135.0,143.566,138.7222,144.10321112128022,142.51116483293615,1.5920462883440791,1.9398212316962653,-0.34777494335218617,2.3292857142857133,10.124575917661096,59.04700579523505,51.22302158273372,37.457970215637296,-48.77697841726628,143.566,146.96541419102007,140.16658580897993,17403542.0,15232125.75,0.049378493674233956
2021-08-23 04:00:00+00:00,144.81,146.6,144.39,146.12,617865.0,143.612,139.1618,144.41348633339095,142.77848595642234,1.6350003769686055,1.8788570607507333,-0.24385668378212788,2.289285714285715,9.198922965333841,58.157894736842174,72.2302158273381,51.318944844124665,-27.7697841726619,143.612,147.12743124553853,140.09656875446146,18021407.0,15289914.85,0.05932169853228553
2021-08-24 04:00:00+00:00,145.93,147.25,145.6,146.07,525012.0,143.7615,139.5394,144.66833458979232,143.02230181150216,1.646032778290163,1.8322922042586194,-0.18625942596845646,2.3028571428571434,8.393978725349204,59.36870382807249,71.51079136690629,64.98800959232604,-28.489208633093718,143.7615,147.43253757023936,140.09046242976066,17496395.0,15424339.75,0.08972843429664887
2021-08-25 04:00:00+00:00,146.17,146.73,144.29,144.84,743730.0,143.9385,139.9058,144.6947446529012,143.15694612176125,1.5377985311399414,1.7733934696348839,-0.2355949384949425,2.3621428571428567,8.261400666316915,54.66998754669988,53.81294964028777,65.85131894484404,-46.18705035971223,143.9385,147.44761759788597,140.42938240211404,16752665.0,15604743.0,0.0603359767815405
2021-08-26 04:00:00+00:00,144.86,145.57,144.01,144.04,524929.0,144.044,140.2506,144.594014706301,143.22235752014933,1.3716571861516798,1.6930462129382433,-0.32138902678656356,2.3721428571428578,7.503012698264635,54.36532507739936,42.30215827338116,55.875299760191744,-57.69784172661884,144.044,147.42333908206658,140.66466091793345,16227736.0,15722246.7,0.029265650222938002
2021-08-27 04:00:00+00:00,143.97,145.2,143.34,145.07,705017.0,144.1875,140.58360000000002,144.66724321302394,143.35921992606418,1.3080232869597523,1.6160416277425451,-0.3080183407827928,2.424285714285714,7.720991413788809,57.00116686114353,57.12230215827322,51.07913669064738,-42.87769784172678,144.1875,147.47976126097703,140.89523873902297,16932753.0,15837659.45,0.039130447436724336
2021-08-30 04:00:00+00:00,145.51,149.83,145.1,149.44,1147195.0,144.56699999999998,141.03,145.40151348794333,143.80964807968905,1.5918654082542787,1.611206383844892,-0.01934097559061332,2.596428571428573,8.399198246180518,67.52626552053485,95.53264604810981,64.9857021599214,-4.467353951890194,144.56699999999998,148.42581410744197,140.708185892558,18079948.0,16051532.8,0.12992050289488
2021-08-31 04:00:00+00:00,149.03,149.16,147.71,148.17,1327571.0,144.7935,141.4152,145.8274344897982,144.1326371108232,1.6947973789750108,1.6279245828709157,0.06687279610409513,2.6378571428571433,7.989490587831104,63.18430656934304,80.98510882016012,77.88001900884773,-19.014891179839882,144.7935,148.94398139249864,140.64301860750135,16752377.0,16154331.65,0.06993253006278308
2021-09-01 04:00:00+00:00,149.18,151.29,148.73,148.92,1061715.0,145.0755,141.7816,146.30321379906002,144.48725658409555,1.8159572149644703,1.6655311092896268,0.1504261056748435,2.6378571428571433,8.756983441986279,59.07707910750502,76.7419038272816,84.41988623185051,-23.2580961727184,145.0755,149.54699321580068,140.60400678419933,17814092.0,16348434.0,0.01869419931651027
2021-09-02 04:00:00+00:00,150.25,151.02,148.78,150.03,927006.0,145.41,142.1762,146.87656552228157,144.89783017045886,1.9787353518227064,1.7281719577962429,0.25056339402646355,2.7185714285714306,8.950896700494,60.920096852300205,87.63493621197262,81.78731628647144,-12.365063788027392,145.41,150.31477747765047,140.50522252234953,18741098.0,16548130.0,0.021566115459574757
